metric,value
mean,357.2
median,305.0
p90,599.8
p99,1682.5
std_dev,268.6
count,2093
session_init_ms,84
wer,0.0248

word_index,latency_ms
0,477
1,617
2,392
3,300
4,770
5,442
6,328
7,238
8,526
9,380
10,756
11,558
12,479
13,479
14,130
15,483
16,552
17,304
18,209
19,277
20,152
21,63
22,127
23,29
24,370
25,206
26,162
27,93
28,306
29,171
30,48
31,97
32,380
33,339
34,86
35,202
36,447
37,359
38,179
39,179
40,294
41,587
42,409
43,285
44,698
45,551
46,293
47,438
48,242
49,360
50,98
51,455
52,292
53,176
54,305
55,237
56,583
57,481
58,420
59,125
60,291
61,121
62,78
63,329
64,118
65,215
66,25
67,681
68,461
69,219
70,170
71,123
72,22
73,195
74,65
75,313
76,113
77,86
78,153
79,798
80,300
81,447
82,99
83,515
84,355
85,196
86,463
87,611
88,120
89,322
90,552
91,100
92,444
93,376
94,400
95,197
96,187
97,179
98,135
99,253
100,603
101,401
102,303
103,287
104,294
105,512
106,275
107,77
108,502
109,875
110,465
111,526
112,211
113,222
114,173
115,375
116,133
117,324
118,151
119,536
120,291
121,302
122,418
123,10
124,201
125,500
126,102
127,162
128,561
129,309
130,243
131,199
132,300
133,229
134,110
135,280
136,373
137,271
138,460
139,604
140,494
141,450
142,293
143,349
144,210
145,95
146,215
147,174
148,317
149,245
150,260
151,506
152,505
153,366
154,495
155,477
156,375
157,375
158,254
159,162
160,205
161,300
162,251
163,152
164,310
165,290
166,292
167,225
168,566
169,467
170,306
171,318
172,582
173,417
174,455
175,567
176,709
177,559
178,301
179,387
180,389
181,234
182,32
183,410
184,189
185,204
186,197
187,100
188,584
189,365
190,301
191,304
192,311
193,39
194,465
195,263
196,300
197,295
198,84
199,71
200,389
201,286
202,279
203,480
204,164
205,304
206,118
207,343
208,177
209,302
210,291
211,337
212,457
213,289
214,39
215,252
216,385
217,199
218,164
219,601
220,397
221,394
222,280
223,153
224,711
225,288
226,684
227,802
228,704
229,370
230,296
231,484
232,571
233,270
234,268
235,428
236,230
237,308
238,305
